,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,324106,25007,10398,2293,0,0,8556,3,20,0.0,3,8556
1,2,3/3/2020,314319,29946,14243,3296,0,0,9787,11,30,0.0,14,18343
2,3,4/3/2020,303888,34203,18955,4757,1,0,10431,15,43,0.0,29,28774
3,4,5/3/2020,292825,37823,24377,6778,1,0,11064,26,69,0.0,55,39838
4,5,6/3/2020,281155,41104,29976,9567,2,0,11672,33,98,0.0,88,51510
5,6,7/3/2020,268268,44535,35732,13267,2,0,12888,48,142,0.0,136,64398
6,7,8/3/2020,254273,48289,41251,17988,3,0,13996,73,212,0.0,209,78394
7,8,9/3/2020,239619,51791,46685,23704,5,0,14657,77,281,0.0,286,93051
8,9,10/3/2020,224161,55224,52153,30261,5,0,15462,138,415,0.0,424,108513
9,10,11/3/2020,208056,58536,57161,38042,9,0,16109,156,558,0.0,580,124622
10,11,12/3/2020,192072,60853,62185,46676,18,0,15986,187,718,0.0,767,140608
11,12,13/3/2020,179358,59064,67181,56174,27,0,12720,224,906,0.0,991,153328
12,13,14/3/2020,166749,56795,71754,66469,37,0,12614,290,1148,0.0,1281,165942
13,14,15/3/2020,155029,53894,75227,77602,52,0,11726,354,1432,0.0,1635,177668
14,15,16/3/2020,143994,50717,77421,89599,73,0,11038,377,1715,0.0,2012,188706
15,16,17/3/2020,136808,44513,78014,102373,96,0,7190,423,2037,0.0,2435,195896
16,17,18/3/2020,130048,39042,76854,115734,126,0,6763,517,2419,0.0,2952,202659
17,18,19/3/2020,123786,34025,74572,129251,170,0,6263,519,2755,0.0,3471,208922
18,19,20/3/2020,117973,30018,71007,142581,225,0,5813,643,3179,0.0,4114,214735
19,20,21/3/2020,115348,24108,66426,155629,293,0,2625,675,3581,0.0,4789,217360
20,21,22/3/2020,112953,19228,61267,167987,369,0,2396,727,4017,0.0,5516,219756
21,22,23/3/2020,110736,15366,55411,179837,454,0,2217,717,4404,0.0,6233,221973
22,23,24/3/2020,110080,10977,49382,190800,565,0,656,756,4762,0.0,6989,222629
23,24,25/3/2020,109445,7829,43351,200508,671,0,637,763,5100,0.0,7752,223266
24,25,26/3/2020,108779,5596,37499,209103,827,0,666,725,5322,0.0,8477,223932
25,26,27/3/2020,108169,4215,31777,216646,997,0,610,729,5494,0.0,9206,224542
26,27,28/3/2020,107588,3372,26665,223017,1162,0,581,642,5543,0.0,9848,225123
27,28,29/3/2020,107025,2820,22159,228442,1358,0,563,685,5583,0.0,10533,225686
28,29,30/3/2020,106477,2475,18470,232837,1545,0,548,586,5484,0.0,11119,226234
29,30,31/3/2020,105973,2290,15425,236390,1726,0,504,483,5333,0.0,11602,226738
30,31,1/4/2020,105591,2057,12939,239260,1957,0,382,423,5047,0.0,12025,227120
31,32,2/4/2020,105194,1900,11013,241526,2171,0,397,397,4756,0.0,12422,227517
32,33,3/4/2020,104842,1760,9490,243326,2386,0,353,331,4374,0.0,12753,227870
33,34,4/4/2020,104482,1651,8177,244896,2598,0,360,283,3994,0.0,13036,228230
34,35,5/4/2020,104220,1466,7217,246104,2797,0,262,191,3533,0.0,13227,228492
35,36,6/4/2020,103967,1292,6359,247204,2982,0,255,169,3119,0.0,13396,228747
