,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,306607,33860,18510,3623,0,0,8389,24,46,0.0,24,8389
1,2,3/3/2020,297268,35505,24374,5453,0,0,9342,23,69,0.0,47,17731
2,3,4/3/2020,286518,37946,30083,8052,1,0,10753,34,101,0.0,81,28484
3,4,5/3/2020,274305,41190,35371,11733,1,0,12216,36,134,0.0,117,40700
4,5,6/3/2020,261466,44499,40366,16267,2,0,12840,79,206,0.0,196,53540
5,6,7/3/2020,247424,48398,44747,22028,3,0,14045,113,316,0.0,309,67585
6,7,8/3/2020,232766,51893,49211,28725,5,0,14658,123,427,0.0,432,82243
7,8,9/3/2020,217704,55117,53522,36252,5,0,15069,147,558,0.0,579,97312
8,9,10/3/2020,202643,57234,58102,44610,11,0,15068,185,717,0.0,764,112380
9,10,11/3/2020,187892,58355,62791,53542,20,0,14759,240,926,0.0,1004,127139
10,11,12/3/2020,173719,58440,67171,63231,39,0,14180,292,1157,0.0,1296,141319
11,12,13/3/2020,162382,55185,71286,73686,61,0,11343,359,1445,0.0,1655,152662
12,13,14/3/2020,151555,51818,74261,84878,88,0,10832,389,1732,0.0,2044,163494
13,14,15/3/2020,141222,48541,75831,96891,115,0,10334,419,2047,0.0,2463,173828
14,15,16/3/2020,131538,45169,76464,109279,150,0,9689,519,2428,0.0,2982,183517
15,16,17/3/2020,124998,39285,75799,122320,198,0,6544,469,2735,0.0,3451,190061
16,17,18/3/2020,118954,34316,73303,135774,253,0,6045,575,3088,0.0,4026,196106
17,18,19/3/2020,113195,30248,70110,148734,313,0,5759,554,3378,0.0,4580,201865
18,19,20/3/2020,107878,26875,65897,161571,379,0,5318,708,3810,0.0,5288,207183
19,20,21/3/2020,105610,21503,61170,173847,470,0,2268,690,4181,0.0,5978,209451
20,21,22/3/2020,103519,17022,56237,185237,585,0,2092,724,4479,0.0,6702,211543
21,22,23/3/2020,101500,13542,50749,196093,716,0,2020,768,4803,0.0,7470,213563
22,23,24/3/2020,100918,9734,45194,205898,856,0,582,720,5033,0.0,8190,214145
23,24,25/3/2020,100289,7127,39563,214631,990,0,629,747,5309,0.0,8937,214774
24,25,26/3/2020,99663,5217,34340,222235,1145,0,626,722,5512,0.0,9659,215400
25,26,27/3/2020,99064,3966,29222,229038,1310,0,599,682,5615,0.0,10341,215999
26,27,28/3/2020,98482,3148,24709,234774,1487,0,583,633,5613,0.0,10974,216582
27,28,29/3/2020,97929,2683,20554,239733,1701,0,554,589,5548,0.0,11563,217136
28,29,30/3/2020,97390,2441,17135,243735,1899,0,539,497,5354,0.0,12060,217675
29,30,31/3/2020,96906,2238,14312,247036,2108,0,484,425,5056,0.0,12485,218159
30,31,1/4/2020,96565,1974,12124,249624,2313,0,341,389,4761,0.0,12874,218500
31,32,2/4/2020,96211,1761,10350,251763,2515,0,355,348,4382,0.0,13222,218855
32,33,3/4/2020,95908,1580,8901,253488,2723,0,303,261,3960,0.0,13483,219158
33,34,4/4/2020,95623,1420,7734,254914,2909,0,285,254,3556,0.0,13737,219443
34,35,5/4/2020,95374,1288,6625,256213,3100,0,249,198,3094,0.0,13935,219692
35,36,6/4/2020,95152,1129,5776,257288,3255,0,222,167,2757,0.0,14102,219914
36,37,7/4/2020,94977,969,5041,258223,3390,0,175,114,2410,0.0,14216,220089
37,38,8/4/2020,94835,828,4363,259049,3525,0,142,98,2075,0.0,14314,220231
38,39,9/4/2020,94683,754,3785,259723,3655,0,152,84,1771,0.0,14398,220383
39,40,10/4/2020,94543,685,3278,260301,3793,0,140,66,1472,0.0,14464,220523
40,41,11/4/2020,94473,556,2808,260863,3900,0,70,60,1211,0.0,14524,220593
41,42,12/4/2020,94401,470,2414,261319,3996,0,72,53,1008,0.0,14577,220665
42,43,13/4/2020,94320,396,2068,261747,4069,0,81,42,836,0.0,14619,220746
43,44,14/4/2020,94257,337,1758,262105,4143,0,63,21,668,0.0,14640,220809
44,45,15/4/2020,94214,283,1496,262417,4190,0,43,33,557,0.0,14673,220852
45,46,16/4/2020,94174,237,1267,262687,4235,0,40,21,459,0.0,14694,220892
46,47,17/4/2020,94149,191,1077,262919,4264,0,25,22,392,0.0,14716,220917
47,48,18/4/2020,94116,164,897,263122,4301,0,33,15,311,0.0,14731,220950
48,49,19/4/2020,94097,129,766,263283,4325,0,20,22,277,0.0,14753,220970
49,50,20/4/2020,94076,104,649,263428,4343,0,21,16,231,0.0,14769,220991
50,51,21/4/2020,94066,88,538,263546,4362,0,10,11,193,0.0,14780,221001
51,52,22/4/2020,94051,82,465,263629,4373,0,16,15,171,0.0,14795,221017
52,53,23/4/2020,94043,68,396,263707,4386,0,8,13,150,0.0,14808,221025
53,54,24/4/2020,94035,54,341,263771,4399,0,8,5,122,0.0,14813,221033
54,55,25/4/2020,94025,49,291,263829,4406,0,10,13,119,0.0,14826,221043
55,56,26/4/2020,94018,39,248,263878,4417,0,7,11,112,0.0,14837,221050
56,57,27/4/2020,94013,31,221,263907,4428,0,5,6,100,0.0,14843,221055
57,58,28/4/2020,94008,29,181,263945,4437,0,5,6,85,0.0,14849,221060
58,59,29/4/2020,94003,27,159,263972,4439,0,5,5,80,0.0,14854,221065
59,60,30/4/2020,93996,29,134,263994,4447,0,8,3,71,0.0,14857,221073
60,61,1/5/2020,93996,22,110,264014,4458,0,0,4,59,0.0,14861,221073
61,62,2/5/2020,93992,20,94,264030,4464,0,4,3,49,0.0,14864,221077
62,63,3/5/2020,93991,14,86,264043,4466,0,1,1,44,0.0,14865,221078
63,64,4/5/2020,93988,13,76,264055,4468,0,3,3,41,0.0,14868,221081
64,65,5/5/2020,93987,11,60,264069,4473,0,1,2,30,0.0,14870,221082
65,66,6/5/2020,93987,8,54,264076,4475,0,1,1,27,0.0,14871,221083
66,67,7/5/2020,93987,3,51,264083,4476,0,0,0,23,0.0,14871,221083
67,68,8/5/2020,93985,4,40,264094,4477,0,2,0,21,0.0,14871,221085
68,69,9/5/2020,93983,6,31,264103,4477,0,2,1,16,0.0,14872,221087
69,70,10/5/2020,93981,7,23,264111,4478,0,2,0,11,0.0,14872,221089
70,71,11/5/2020,93981,4,21,264115,4479,0,0,0,9,0.0,14872,221089
71,72,12/5/2020,93981,5,15,264117,4482,0,1,0,5,0.0,14872,221090
72,73,13/5/2020,93980,5,16,264117,4482,0,1,0,5,0.0,14872,221091
73,74,14/5/2020,93980,3,14,264121,4482,0,0,0,5,0.0,14872,221091
74,75,15/5/2020,93980,3,10,264125,4482,0,0,0,5,0.0,14872,221091
75,76,16/5/2020,93980,2,9,264127,4482,0,0,0,4,0.0,14872,221091
76,77,17/5/2020,93980,1,7,264130,4482,0,0,1,4,0.0,14873,221091
77,78,18/5/2020,93981,0,8,264129,4482,0,0,0,4,0.0,14873,221091
78,79,19/5/2020,93981,0,5,264131,4483,0,0,0,3,0.0,14873,221091
79,80,20/5/2020,93981,1,4,264131,4483,0,1,0,3,0.0,14873,221092
80,81,21/5/2020,93981,1,4,264131,4483,0,0,0,3,0.0,14873,221092
81,82,22/5/2020,93980,2,3,264132,4483,0,1,0,3,0.0,14873,221093
82,83,23/5/2020,93980,3,2,264131,4484,0,1,0,2,0.0,14873,221094
83,84,24/5/2020,93980,2,3,264131,4484,0,0,0,2,0.0,14873,221094
84,85,25/5/2020,93981,2,2,264131,4484,0,0,0,2,0.0,14873,221094
85,86,26/5/2020,93983,2,2,264129,4484,0,0,0,2,0.0,14873,221094
86,87,27/5/2020,93983,1,3,264129,4484,0,0,0,2,0.0,14873,221094
87,88,28/5/2020,93985,1,1,264129,4484,0,0,0,2,0.0,14873,221094
88,89,29/5/2020,93988,0,2,264126,4484,0,0,0,2,0.0,14873,221094
89,90,30/5/2020,93991,0,2,264123,4484,0,0,0,2,0.0,14873,221094
90,91,31/5/2020,93994,0,1,264121,4484,0,0,0,2,0.0,14873,221094
91,92,1/6/2020,93999,1,1,264115,4484,0,1,0,2,0.0,14873,221095
92,93,2/6/2020,93998,5,0,264113,4484,0,4,0,2,0.0,14873,221099
93,94,3/6/2020,94003,5,0,264108,4484,0,0,0,2,0.0,14873,221099
94,95,4/6/2020,94007,6,0,264103,4484,0,1,0,2,0.0,14873,221100
95,96,5/6/2020,94013,6,1,264096,4484,0,1,0,2,0.0,14873,221101
96,97,6/6/2020,94018,5,5,264088,4484,0,3,0,2,0.0,14873,221104
97,98,7/6/2020,94026,6,6,264078,4484,0,2,0,2,0.0,14873,221106
98,99,8/6/2020,94028,7,6,264075,4484,0,2,0,2,0.0,14873,221108
99,100,9/6/2020,94032,10,7,264068,4483,0,4,1,3,0.0,14874,221112
