,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,329605,21730,8491,1953,0,0,8113,9,22,0.0,9,8113
1,2,3/3/2020,319221,27939,11831,2788,0,0,10384,13,35,0.0,22,18497
2,3,4/3/2020,306492,35244,16063,3978,2,0,12729,12,44,0.0,34,31226
3,4,5/3/2020,291865,42804,21468,5639,3,0,14627,16,57,0.0,50,45853
4,5,6/3/2020,276249,49798,27723,8006,3,0,15616,28,84,0.0,78,61469
5,6,7/3/2020,260328,55140,35182,11126,3,0,15922,44,126,0.0,122,77391
6,7,8/3/2020,244448,58774,43186,15366,5,0,15882,36,154,0.0,158,93273
7,8,9/3/2020,228958,60868,51267,20679,7,0,15494,74,222,0.0,232,108767
8,9,10/3/2020,214015,61343,59053,27357,11,0,14945,100,310,0.0,332,123712
9,10,11/3/2020,199775,60459,66176,35351,18,0,14243,117,403,0.0,449,137955
10,11,12/3/2020,186086,59033,71504,45134,22,0,13692,175,557,0.0,624,151647
11,12,13/3/2020,175043,55059,75495,56153,29,0,11048,223,754,0.0,847,162695
12,13,14/3/2020,164143,51434,77805,68355,42,0,10905,261,971,0.0,1108,173600
13,14,15/3/2020,153812,48002,78594,81319,52,0,10335,360,1298,0.0,1468,183935
14,15,16/3/2020,143822,44918,78255,94714,70,0,9992,459,1696,0.0,1927,193927
15,16,17/3/2020,137032,39719,76295,108644,89,0,6790,509,2122,0.0,2436,200717
16,17,18/3/2020,130535,35247,73671,122190,136,0,6500,536,2523,0.0,2972,207217
17,18,19/3/2020,124277,31559,70274,135491,178,0,6258,619,2990,0.0,3591,213475
18,19,20/3/2020,118396,28502,66230,148425,226,0,5882,703,3494,0.0,4294,219357
19,20,21/3/2020,115810,23233,61881,160568,287,0,2586,740,3998,0.0,5034,221943
20,21,22/3/2020,113479,18652,57068,172198,382,0,2333,733,4395,0.0,5767,224276
21,22,23/3/2020,111130,15265,51956,182957,471,0,2349,795,4821,0.0,6562,226625
22,23,24/3/2020,110420,11062,46955,192756,586,0,710,820,5210,0.0,7382,227335
23,24,25/3/2020,109729,8006,41642,201675,727,0,691,753,5468,0.0,8135,228026
24,25,26/3/2020,109082,5744,36439,209641,873,0,647,715,5649,0.0,8850,228673
25,26,27/3/2020,108379,4427,31132,216802,1039,0,703,697,5744,0.0,9547,229376
26,27,28/3/2020,107740,3516,26454,222843,1226,0,639,632,5724,0.0,10179,230015
27,28,29/3/2020,107128,3015,22075,228144,1417,0,613,563,5585,0.0,10742,230628
28,29,30/3/2020,106555,2683,18416,232498,1627,0,573,545,5412,0.0,11287,231201
29,30,31/3/2020,106058,2438,15404,236042,1837,0,497,494,5186,0.0,11781,231698
30,31,1/4/2020,105667,2149,13010,238879,2074,0,391,396,4855,0.0,12177,232089
31,32,2/4/2020,105232,1985,11100,241178,2284,0,435,393,4538,0.0,12570,232524
32,33,3/4/2020,104874,1795,9522,243082,2506,0,358,280,4135,0.0,12850,232882
33,34,4/4/2020,104556,1616,8234,244669,2704,0,318,249,3730,0.0,13099,233200
34,35,5/4/2020,104267,1433,7288,245889,2902,0,289,213,3352,0.0,13312,233489
35,36,6/4/2020,104009,1288,6333,247056,3093,0,258,166,2914,0.0,13478,233747
36,37,7/4/2020,103788,1151,5543,248046,3251,0,221,140,2540,0.0,13618,233968
37,38,8/4/2020,103610,999,4845,248905,3420,0,178,119,2178,0.0,13737,234146
38,39,9/4/2020,103439,882,4220,249683,3555,0,172,117,1879,0.0,13854,234318
39,40,10/4/2020,103310,769,3656,250363,3681,0,130,80,1580,0.0,13934,234448
40,41,11/4/2020,103225,638,3200,250927,3789,0,85,68,1357,0.0,14002,234533
41,42,12/4/2020,103114,554,2757,251450,3904,0,111,52,1117,0.0,14054,234644
42,43,13/4/2020,103025,497,2358,251914,3985,0,89,38,930,0.0,14092,234733
43,44,14/4/2020,102946,422,2026,252315,4070,0,79,34,752,0.0,14126,234812
44,45,15/4/2020,102871,373,1754,252659,4122,0,75,29,622,0.0,14155,234887
45,46,16/4/2020,102819,328,1474,252995,4163,0,52,34,515,0.0,14189,234939
46,47,17/4/2020,102787,263,1283,253230,4216,0,32,31,424,0.0,14220,234971
47,48,18/4/2020,102753,222,1115,253453,4236,0,34,29,370,0.0,14249,235005
48,49,19/4/2020,102730,184,966,253635,4264,0,24,20,314,0.0,14269,235029
49,50,20/4/2020,102705,151,847,253787,4289,0,25,22,281,0.0,14291,235054
50,51,21/4/2020,102686,122,710,253953,4308,0,19,24,245,0.0,14315,235073
51,52,22/4/2020,102665,108,595,254091,4320,0,21,16,220,0.0,14331,235094
52,53,23/4/2020,102653,83,523,254191,4329,0,12,14,202,0.0,14345,235106
53,54,24/4/2020,102629,84,439,254279,4348,0,24,13,176,0.0,14358,235130
54,55,25/4/2020,102613,72,376,254360,4358,0,16,12,156,0.0,14370,235146
55,56,26/4/2020,102603,61,326,254421,4368,0,10,13,142,0.0,14383,235156
56,57,27/4/2020,102598,54,278,254476,4373,0,5,8,128,0.0,14391,235161
57,58,28/4/2020,102591,47,253,254508,4380,0,8,8,116,0.0,14399,235169
58,59,29/4/2020,102583,44,220,254546,4386,0,8,4,103,0.0,14403,235177
59,60,30/4/2020,102578,36,205,254570,4390,0,5,3,95,0.0,14406,235182
60,61,1/5/2020,102575,29,173,254604,4398,0,3,3,76,0.0,14409,235185
61,62,2/5/2020,102565,27,156,254629,4402,0,10,2,67,0.0,14411,235195
62,63,3/5/2020,102562,23,131,254654,4409,0,3,1,50,0.0,14412,235198
63,64,4/5/2020,102561,22,108,254672,4416,0,1,3,42,0.0,14415,235199
64,65,5/5/2020,102560,16,98,254688,4417,0,1,3,40,0.0,14418,235200
65,66,6/5/2020,102557,14,82,254705,4421,0,3,1,31,0.0,14419,235203
66,67,7/5/2020,102557,9,75,254714,4424,0,0,2,28,0.0,14421,235203
67,68,8/5/2020,102557,4,63,254730,4425,0,0,3,27,0.0,14424,235203
68,69,9/5/2020,102557,2,52,254741,4427,0,0,2,24,0.0,14426,235203
69,70,10/5/2020,102556,2,40,254752,4429,0,1,3,20,0.0,14429,235204
70,71,11/5/2020,102553,5,33,254758,4430,0,3,1,19,0.0,14430,235207
71,72,12/5/2020,102553,6,26,254761,4433,0,1,2,17,0.0,14432,235208
72,73,13/5/2020,102547,11,22,254765,4434,0,6,0,14,0.0,14432,235214
73,74,14/5/2020,102547,10,17,254770,4435,0,0,0,13,0.0,14432,235214
74,75,15/5/2020,102544,13,14,254773,4435,0,3,0,11,0.0,14432,235217
75,76,16/5/2020,102544,11,14,254774,4436,0,0,0,9,0.0,14432,235217
76,77,17/5/2020,102545,7,13,254776,4438,0,0,0,5,0.0,14432,235217
77,78,18/5/2020,102545,6,12,254778,4438,0,0,0,5,0.0,14432,235217
78,79,19/5/2020,102544,3,13,254781,4438,0,1,0,3,0.0,14432,235218
79,80,20/5/2020,102543,3,11,254783,4439,0,1,0,2,0.0,14432,235219
80,81,21/5/2020,102543,2,9,254785,4440,0,0,0,1,0.0,14432,235219
81,82,22/5/2020,102543,2,7,254787,4440,0,0,0,1,0.0,14432,235219
82,83,23/5/2020,102544,2,6,254787,4440,0,0,0,1,0.0,14432,235219
83,84,24/5/2020,102546,1,4,254787,4441,0,0,0,0,0.0,14432,235219
84,85,25/5/2020,102547,0,5,254786,4441,0,0,0,0,0.0,14432,235219
85,86,26/5/2020,102550,0,3,254785,4441,0,0,0,0,0.0,14432,235219
86,87,27/5/2020,102550,0,2,254786,4441,0,0,0,0,0.0,14432,235219
87,88,28/5/2020,102551,0,0,254787,4441,0,0,0,0,0.0,14432,235219
88,89,29/5/2020,102552,0,0,254786,4441,0,0,0,0,0.0,14432,235219
89,90,30/5/2020,102552,1,0,254785,4441,0,1,0,0,0.0,14432,235220
90,91,31/5/2020,102554,1,0,254783,4441,0,0,0,0,0.0,14432,235220
91,92,1/6/2020,102558,1,0,254779,4441,0,0,0,0,0.0,14432,235220
92,93,2/6/2020,102559,3,0,254776,4441,0,2,0,0,0.0,14432,235222
93,94,3/6/2020,102561,6,0,254771,4441,0,3,0,0,0.0,14432,235225
94,95,4/6/2020,102561,4,2,254771,4441,0,0,0,0,0.0,14432,235225
95,96,5/6/2020,102568,4,3,254763,4441,0,1,0,0,0.0,14432,235226
96,97,6/6/2020,102570,9,3,254756,4441,0,5,0,0,0.0,14432,235231
97,98,7/6/2020,102572,9,3,254754,4441,0,0,0,0,0.0,14432,235231
98,99,8/6/2020,102577,6,5,254750,4441,0,0,0,0,0.0,14432,235231
99,100,9/6/2020,102582,1,7,254748,4441,0,0,0,0,0.0,14432,235231
