,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,311697,31646,15712,3225,0,0,9346,16,38,0.0,16,9346
1,2,3/3/2020,300669,35993,20815,4802,1,0,11028,20,53,0.0,36,20374
2,3,4/3/2020,288130,40697,26475,6977,1,0,12541,25,77,0.0,61,32915
3,4,5/3/2020,273813,46074,32351,10040,2,0,14319,38,113,0.0,99,47234
4,5,6/3/2020,258366,51324,38542,14042,6,0,15448,58,165,0.0,157,62682
5,6,7/3/2020,242715,55569,44850,19139,7,0,15655,92,253,0.0,249,78337
6,7,8/3/2020,227525,58175,51412,25157,11,0,15194,106,348,0.0,355,93531
7,8,9/3/2020,212421,59759,57698,32391,11,0,15110,145,485,0.0,500,108641
8,9,10/3/2020,197964,59891,63664,40744,17,0,14464,220,681,0.0,720,123105
9,10,11/3/2020,183921,59167,68851,50318,23,0,14047,241,893,0.0,961,137152
10,11,12/3/2020,170361,57845,73359,60683,32,0,13566,298,1148,0.0,1259,150718
11,12,13/3/2020,159320,54148,76644,72117,51,0,11043,372,1463,0.0,1631,161761
12,13,14/3/2020,148629,50557,78274,84748,72,0,10697,360,1742,0.0,1991,172458
13,14,15/3/2020,138678,46954,78697,97856,95,0,9958,479,2123,0.0,2470,182416
14,15,16/3/2020,129197,43893,77691,111375,124,0,9485,472,2453,0.0,2942,191901
15,16,17/3/2020,122884,38392,75886,124957,161,0,6313,579,2870,0.0,3521,198214
16,17,18/3/2020,116926,33678,72929,138543,204,0,5962,660,3326,0.0,4181,204176
17,18,19/3/2020,111468,29477,69266,151788,281,0,5460,667,3716,0.0,4848,209636
18,19,20/3/2020,106412,26056,64799,164638,375,0,5057,702,4095,0.0,5550,214693
19,20,21/3/2020,104203,20794,60117,176705,461,0,2212,745,4503,0.0,6295,216905
20,21,22/3/2020,102150,16372,55244,187937,577,0,2055,721,4818,0.0,7016,218960
21,22,23/3/2020,100177,13109,49676,198624,694,0,1973,744,5108,0.0,7760,220933
22,23,24/3/2020,99576,9538,44184,208151,831,0,602,707,5319,0.0,8467,221535
23,24,25/3/2020,98930,6910,38649,216817,974,0,648,763,5512,0.0,9230,222183
24,25,26/3/2020,98354,5026,33432,224320,1148,0,577,668,5604,0.0,9898,222760
25,26,27/3/2020,97774,3870,28354,230950,1332,0,580,667,5606,0.0,10565,223340
26,27,28/3/2020,97237,3099,23890,236552,1502,0,537,593,5544,0.0,11158,223877
27,28,29/3/2020,96704,2645,19865,241375,1691,0,533,540,5379,0.0,11698,224410
28,29,30/3/2020,96233,2313,16529,245326,1879,0,471,511,5220,0.0,12209,224881
29,30,31/3/2020,95753,2127,13725,248577,2098,0,480,446,4904,0.0,12655,225361
30,31,1/4/2020,95410,1921,11489,251167,2293,0,343,365,4558,0.0,13020,225704
31,32,2/4/2020,95081,1699,9817,253159,2524,0,330,312,4204,0.0,13332,226034
32,33,3/4/2020,94808,1507,8446,254764,2755,0,273,296,3848,0.0,13628,226307
33,34,4/4/2020,94524,1363,7291,256140,2962,0,284,205,3421,0.0,13833,226591
34,35,5/4/2020,94265,1267,6276,257330,3142,0,259,174,2999,0.0,14007,226850
35,36,6/4/2020,94074,1090,5499,258290,3327,0,191,128,2603,0.0,14135,227041
36,37,7/4/2020,93850,1030,4798,259095,3507,0,224,127,2292,0.0,14262,227265
37,38,8/4/2020,93692,897,4189,259836,3666,0,158,84,1932,0.0,14346,227423
38,39,9/4/2020,93573,750,3709,260460,3788,0,119,101,1678,0.0,14447,227542
39,40,10/4/2020,93433,681,3154,261103,3909,0,140,73,1388,0.0,14520,227682
40,41,11/4/2020,93369,558,2700,261622,4031,0,64,60,1145,0.0,14580,227746
41,42,12/4/2020,93284,470,2378,262040,4108,0,86,65,998,0.0,14645,227832
42,43,13/4/2020,93215,391,2042,262451,4181,0,70,46,828,0.0,14691,227902
43,44,14/4/2020,93153,336,1776,262781,4234,0,62,34,706,0.0,14725,227964
44,45,15/4/2020,93108,282,1537,263065,4288,0,45,29,599,0.0,14754,228009
45,46,16/4/2020,93065,246,1296,263330,4343,0,43,22,498,0.0,14776,228052
46,47,17/4/2020,93025,207,1102,263554,4392,0,40,18,411,0.0,14794,228092
47,48,18/4/2020,92994,179,953,263734,4420,0,32,18,351,0.0,14812,228124
48,49,19/4/2020,92964,160,814,263889,4453,0,30,26,297,0.0,14838,228154
49,50,20/4/2020,92946,127,692,264030,4485,0,18,24,253,0.0,14862,228172
50,51,21/4/2020,92929,103,602,264143,4503,0,17,8,210,0.0,14870,228189
51,52,22/4/2020,92919,85,512,264249,4515,0,10,7,183,0.0,14877,228199
52,53,23/4/2020,92905,72,446,264324,4533,0,14,13,165,0.0,14890,228213
53,54,24/4/2020,92896,63,379,264395,4547,0,9,15,146,0.0,14905,228222
54,55,25/4/2020,92890,54,324,264458,4554,0,6,3,125,0.0,14908,228228
55,56,26/4/2020,92880,51,281,264504,4564,0,10,10,114,0.0,14918,228238
56,57,27/4/2020,92876,42,244,264542,4576,0,4,7,97,0.0,14925,228242
57,58,28/4/2020,92871,37,215,264575,4582,0,5,4,90,0.0,14929,228247
58,59,29/4/2020,92868,28,186,264608,4590,0,3,11,86,0.0,14940,228250
59,60,30/4/2020,92860,24,158,264642,4596,0,8,12,81,0.0,14952,228258
60,61,1/5/2020,92859,19,138,264661,4603,0,1,5,74,0.0,14957,228259
61,62,2/5/2020,92855,20,115,264683,4607,0,4,1,64,0.0,14958,228263
62,63,3/5/2020,92854,13,93,264706,4614,0,1,5,49,0.0,14963,228264
63,64,4/5/2020,92850,13,84,264717,4616,0,4,2,48,0.0,14965,228268
64,65,5/5/2020,92845,15,78,264724,4618,0,5,4,48,0.0,14969,228273
65,66,6/5/2020,92844,11,68,264736,4621,0,2,1,38,0.0,14970,228275
66,67,7/5/2020,92842,10,60,264745,4623,0,2,0,34,0.0,14970,228277
67,68,8/5/2020,92842,9,44,264759,4626,0,0,0,25,0.0,14970,228277
68,69,9/5/2020,92842,6,34,264767,4631,0,0,3,19,0.0,14973,228277
69,70,10/5/2020,92841,3,32,264770,4634,0,1,0,15,0.0,14973,228278
70,71,11/5/2020,92839,5,24,264776,4636,0,2,0,12,0.0,14973,228280
