,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,304914,36567,16946,3273,0,0,10889,15,35,0.0,15,10889
1,2,3/3/2020,293518,40268,23047,4867,0,0,11398,20,55,0.0,35,22287
2,3,4/3/2020,281132,43701,29621,7245,1,0,12387,36,89,0.0,71,34674
3,4,5/3/2020,268389,46450,36355,10505,1,0,12745,47,135,0.0,118,47419
4,5,6/3/2020,255577,48525,42763,14832,3,0,12814,51,180,0.0,169,60233
5,6,7/3/2020,242137,50472,48509,20574,8,0,13443,81,249,0.0,250,73676
6,7,8/3/2020,228243,52372,53636,27440,9,0,13896,125,362,0.0,375,87572
7,8,9/3/2020,214151,54030,58197,35312,10,0,14097,167,519,0.0,542,101669
8,9,10/3/2020,199749,55247,62553,44133,18,0,14405,219,712,0.0,761,116074
9,10,11/3/2020,185363,56289,66002,54022,24,0,14390,260,942,0.0,1021,130464
10,11,12/3/2020,171197,56668,69240,64560,35,0,14171,324,1222,0.0,1345,144635
11,12,13/3/2020,159697,54079,72064,75810,50,0,11502,371,1530,0.0,1716,156137
12,13,14/3/2020,148709,51449,73924,87547,71,0,10994,430,1875,0.0,2146,167131
13,14,15/3/2020,138262,48445,74990,99912,91,0,10454,488,2264,0.0,2634,177585
14,15,16/3/2020,128472,45350,75309,112442,127,0,9793,536,2658,0.0,3170,187378
15,16,17/3/2020,122187,39427,74664,125258,164,0,6287,612,3074,0.0,3782,193665
16,17,18/3/2020,116214,34362,72846,138050,228,0,5976,622,3467,0.0,4404,199641
17,18,19/3/2020,110575,30150,69866,150803,306,0,5640,616,3799,0.0,5020,205281
18,19,20/3/2020,105473,26717,65801,163307,402,0,5103,692,4172,0.0,5712,210384
19,20,21/3/2020,103178,21347,61187,175484,504,0,2295,687,4478,0.0,6399,212679
20,21,22/3/2020,101095,16870,56032,187086,617,0,2084,718,4745,0.0,7117,214763
21,22,23/3/2020,99107,13443,50621,197772,757,0,1988,735,4982,0.0,7852,216751
22,23,24/3/2020,98510,9787,44982,207515,906,0,597,745,5217,0.0,8597,217348
23,24,25/3/2020,97859,7105,39282,216378,1076,0,651,777,5450,0.0,9374,217999
24,25,26/3/2020,97255,5237,33896,224083,1229,0,604,706,5598,0.0,10080,218603
25,26,27/3/2020,96696,3967,28808,230824,1405,0,560,663,5627,0.0,10743,219163
26,27,28/3/2020,96206,3031,24304,236550,1609,0,490,625,5590,0.0,11368,219653
27,28,29/3/2020,95682,2581,20257,241379,1801,0,525,559,5457,0.0,11927,220178
28,29,30/3/2020,95203,2268,16807,245401,2021,0,479,531,5251,0.0,12458,220657
29,30,31/3/2020,94757,2075,14074,248565,2229,0,446,422,4990,0.0,12880,221103
30,31,1/4/2020,94440,1808,11809,251190,2453,0,317,362,4641,0.0,13242,221420
31,32,2/4/2020,94097,1682,9995,253281,2645,0,343,338,4313,0.0,13580,221763
32,33,3/4/2020,93814,1469,8674,254894,2849,0,283,272,3940,0.0,13852,222046
33,34,4/4/2020,93533,1321,7490,256314,3042,0,281,274,3555,0.0,14126,222327
34,35,5/4/2020,93321,1178,6492,257493,3216,0,212,216,3179,0.0,14342,222539
35,36,6/4/2020,93082,1109,5671,258455,3383,0,239,161,2819,0.0,14503,222778
36,37,7/4/2020,92896,994,4913,259344,3553,0,186,130,2428,0.0,14633,222964
37,38,8/4/2020,92730,878,4297,260091,3704,0,166,119,2112,0.0,14752,223130
38,39,9/4/2020,92571,783,3724,260782,3840,0,159,85,1779,0.0,14837,223289
39,40,10/4/2020,92468,652,3228,261403,3949,0,103,61,1491,0.0,14898,223392
40,41,11/4/2020,92411,526,2772,261934,4057,0,58,52,1253,0.0,14950,223450
41,42,12/4/2020,92328,448,2413,262364,4147,0,83,54,1061,0.0,15004,223533
42,43,13/4/2020,92256,391,2048,262771,4234,0,73,42,872,0.0,15046,223606
43,44,14/4/2020,92201,336,1762,263103,4298,0,55,32,730,0.0,15078,223661
44,45,15/4/2020,92151,275,1524,263388,4362,0,50,34,609,0.0,15112,223711
45,46,16/4/2020,92099,256,1299,263639,4407,0,52,16,513,0.0,15128,223763
46,47,17/4/2020,92062,223,1089,263878,4448,0,37,28,432,0.0,15156,223800
47,48,18/4/2020,92036,172,935,264076,4481,0,27,19,369,0.0,15175,223827
48,49,19/4/2020,92007,155,765,264260,4513,0,29,17,294,0.0,15192,223856
49,50,20/4/2020,91993,124,652,264393,4538,0,14,14,242,0.0,15206,223870
50,51,21/4/2020,91985,104,555,264505,4551,0,8,18,218,0.0,15224,223878
51,52,22/4/2020,91976,81,484,264592,4567,0,9,10,191,0.0,15234,223887
52,53,23/4/2020,91968,59,424,264666,4583,0,8,9,162,0.0,15243,223895
53,54,24/4/2020,91957,46,371,264734,4592,0,11,13,147,0.0,15256,223906
54,55,25/4/2020,91946,45,318,264789,4602,0,11,8,127,0.0,15264,223917
55,56,26/4/2020,91936,42,271,264833,4618,0,10,7,111,0.0,15271,223927
56,57,27/4/2020,91929,37,237,264871,4626,0,7,4,97,0.0,15275,223934
57,58,28/4/2020,91926,30,196,264915,4633,0,3,10,92,0.0,15285,223937
58,59,29/4/2020,91919,32,164,264943,4642,0,7,4,77,0.0,15289,223944
59,60,30/4/2020,91913,31,140,264968,4648,0,6,3,68,0.0,15292,223950
60,61,1/5/2020,91909,30,124,264983,4654,0,4,7,64,0.0,15299,223954
61,62,2/5/2020,91905,21,117,264997,4660,0,4,4,58,0.0,15303,223958
62,63,3/5/2020,91901,15,107,265011,4666,0,4,3,50,0.0,15306,223962
63,64,4/5/2020,91898,19,91,265025,4667,0,4,3,49,0.0,15309,223966
64,65,5/5/2020,91896,17,85,265034,4668,0,2,0,46,0.0,15309,223968
65,66,6/5/2020,91891,19,70,265046,4674,0,5,0,36,0.0,15309,223973
66,67,7/5/2020,91890,14,63,265057,4676,0,1,4,34,0.0,15313,223974
67,68,8/5/2020,91889,10,51,265068,4682,0,1,0,23,0.0,15313,223975
68,69,9/5/2020,91889,6,45,265078,4682,0,0,0,20,0.0,15313,223975
69,70,10/5/2020,91888,6,40,265083,4683,0,1,0,18,0.0,15313,223976
70,71,11/5/2020,91888,4,37,265088,4683,0,1,2,17,0.0,15315,223977
71,72,12/5/2020,91889,3,29,265092,4687,0,0,0,13,0.0,15315,223977
72,73,13/5/2020,91886,6,24,265096,4688,0,3,0,10,0.0,15315,223980
73,74,14/5/2020,91886,5,20,265101,4688,0,0,0,9,0.0,15315,223980
74,75,15/5/2020,91884,6,14,265108,4688,0,2,0,6,0.0,15315,223982
75,76,16/5/2020,91882,6,11,265113,4688,0,2,0,6,0.0,15315,223984
76,77,17/5/2020,91882,6,8,265116,4688,0,1,0,5,0.0,15315,223985
77,78,18/5/2020,91882,4,9,265117,4688,0,0,0,5,0.0,15315,223985
78,79,19/5/2020,91883,4,7,265117,4689,0,0,1,5,0.0,15316,223985
79,80,20/5/2020,91883,3,7,265118,4689,0,0,0,5,0.0,15316,223985
80,81,21/5/2020,91885,3,7,265116,4689,0,1,0,5,0.0,15316,223986
81,82,22/5/2020,91886,2,6,265116,4690,0,0,0,3,0.0,15316,223986
82,83,23/5/2020,91886,2,4,265118,4690,0,0,0,3,0.0,15316,223986
83,84,24/5/2020,91887,1,4,265118,4690,0,0,0,2,0.0,15316,223986
84,85,25/5/2020,91887,0,3,265120,4690,0,0,0,2,0.0,15316,223986
85,86,26/5/2020,91889,0,2,265119,4690,0,0,0,2,0.0,15316,223986
86,87,27/5/2020,91891,0,1,265118,4690,0,0,0,2,0.0,15316,223986
87,88,28/5/2020,91891,0,1,265118,4690,0,0,0,2,0.0,15316,223986
88,89,29/5/2020,91893,0,1,265116,4690,0,0,0,2,0.0,15316,223986
89,90,30/5/2020,91898,1,1,265110,4690,0,1,0,2,0.0,15316,223987
90,91,31/5/2020,91900,2,0,265108,4690,0,1,0,2,0.0,15316,223988
91,92,1/6/2020,91903,1,1,265105,4690,0,0,0,2,0.0,15316,223988
92,93,2/6/2020,91905,5,1,265099,4690,0,4,0,2,0.0,15316,223992
93,94,3/6/2020,91909,5,2,265094,4690,0,1,0,2,0.0,15316,223993
94,95,4/6/2020,91914,5,3,265088,4690,0,1,0,2,0.0,15316,223994
95,96,5/6/2020,91916,6,2,265086,4690,0,1,0,2,0.0,15316,223995
96,97,6/6/2020,91919,7,3,265081,4690,0,2,0,2,0.0,15316,223997
97,98,7/6/2020,91925,7,4,265074,4690,0,1,0,2,0.0,15316,223998
98,99,8/6/2020,91928,9,3,265070,4690,0,2,0,2,0.0,15316,224000
99,100,9/6/2020,91934,7,5,265064,4690,0,0,0,2,0.0,15316,224000
