,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,303860,38277,16592,3356,3,0,12627,11,42,0.0,11,12627
1,2,3/3/2020,290023,44547,22533,4982,3,0,13840,23,64,0.0,34,26467
2,3,4/3/2020,275570,49480,29632,7403,3,0,14455,31,93,0.0,65,40922
3,4,5/3/2020,261182,52938,37407,10558,3,0,14391,43,129,0.0,108,55313
4,5,6/3/2020,246984,55124,45004,14972,4,0,14199,74,200,0.0,182,69512
5,6,7/3/2020,232855,56184,52448,20594,7,0,14134,86,277,0.0,268,83646
6,7,8/3/2020,218475,57021,58937,27643,12,0,14382,124,393,0.0,392,98028
7,8,9/3/2020,204292,57410,64177,36190,19,0,14186,157,527,0.0,549,112214
8,9,10/3/2020,190473,56861,68838,45890,26,0,13822,195,696,0.0,744,126036
9,10,11/3/2020,176599,56448,72153,56849,39,0,13880,229,890,0.0,973,139916
10,11,12/3/2020,163372,55650,74397,68623,46,0,13230,339,1191,0.0,1312,153146
11,12,13/3/2020,152728,52240,76055,81009,56,0,10651,383,1517,0.0,1695,163797
12,13,14/3/2020,142438,48985,76752,93836,77,0,10293,470,1894,0.0,2165,174090
13,14,15/3/2020,132459,45677,76731,107121,100,0,9980,534,2324,0.0,2699,184070
14,15,16/3/2020,123230,42702,75717,120301,138,0,9231,559,2735,0.0,3258,193301
15,16,17/3/2020,117206,37368,73841,133490,183,0,6027,578,3140,0.0,3836,199328
16,17,18/3/2020,111607,32454,71132,146653,242,0,5603,651,3563,0.0,4487,204931
17,18,19/3/2020,106462,28341,67390,159572,323,0,5147,707,3975,0.0,5194,210078
18,19,20/3/2020,101506,25094,63299,171756,433,0,4957,729,4336,0.0,5923,215035
19,20,21/3/2020,99292,20180,58369,183718,529,0,2214,703,4624,0.0,6626,217249
20,21,22/3/2020,97310,15951,53437,194730,660,0,1982,732,4907,0.0,7358,219231
21,22,23/3/2020,95329,12853,48127,204969,810,0,1981,714,5112,0.0,8072,221212
22,23,24/3/2020,94769,9302,42890,214189,938,0,561,705,5298,0.0,8777,221773
23,24,25/3/2020,94209,6628,37691,222483,1077,0,560,731,5468,0.0,9508,222333
24,25,26/3/2020,93643,4855,32501,229835,1254,0,567,628,5476,0.0,10136,222900
25,26,27/3/2020,93133,3622,27915,235985,1433,0,510,634,5482,0.0,10770,223410
26,27,28/3/2020,92637,2824,23329,241675,1623,0,496,593,5364,0.0,11363,223906
27,28,29/3/2020,92209,2336,19332,246386,1825,0,429,514,5185,0.0,11877,224335
28,29,30/3/2020,91786,2050,16097,250129,2026,0,423,481,4993,0.0,12358,224758
