,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,314120,31759,12769,2724,0,0,11144,8,26,0.0,8,11144
1,2,3/3/2020,300687,38985,17725,3975,0,0,13436,10,35,0.0,18,24580
2,3,4/3/2020,285669,46245,23661,5797,0,0,15020,16,49,0.0,34,39600
3,4,5/3/2020,270149,52137,30825,8261,0,0,15520,28,76,0.0,62,55120
4,5,6/3/2020,254272,56708,38686,11704,2,0,15879,46,119,0.0,108,70999
5,6,7/3/2020,237947,60261,46882,16279,3,0,16329,39,154,0.0,147,87328
6,7,8/3/2020,221585,62611,54895,22274,7,0,16363,65,214,0.0,212,103691
7,8,9/3/2020,206339,63197,62197,29629,10,0,15250,112,319,0.0,324,118941
8,9,10/3/2020,191783,62098,68845,38632,14,0,14559,137,441,0.0,461,133500
9,10,11/3/2020,178244,60202,74071,48833,22,0,13544,199,619,0.0,660,147044
10,11,12/3/2020,165324,58018,77790,60208,32,0,12926,280,866,0.0,940,159970
11,12,13/3/2020,155075,53332,80153,72771,41,0,10252,323,1152,0.0,1263,170222
12,13,14/3/2020,145284,48896,81031,86109,52,0,9796,412,1507,0.0,1675,180018
13,14,15/3/2020,136029,44710,80511,100059,63,0,9256,459,1899,0.0,2134,189274
14,15,16/3/2020,127387,41191,78399,114312,83,0,8644,546,2337,0.0,2680,197918
15,16,17/3/2020,121456,35782,75688,128333,113,0,5933,605,2821,0.0,3285,203851
16,17,18/3/2020,115779,31429,71619,142384,161,0,5679,643,3283,0.0,3928,209530
17,18,19/3/2020,110506,27767,67365,155509,225,0,5273,740,3784,0.0,4668,214803
18,19,20/3/2020,105896,24416,62615,168141,304,0,4610,743,4253,0.0,5411,219413
19,20,21/3/2020,103740,19606,57785,179846,395,0,2159,752,4647,0.0,6163,221572
20,21,22/3/2020,101768,15578,52964,190551,511,0,1972,797,5061,0.0,6960,223544
21,22,23/3/2020,99810,12565,47879,200471,647,0,1959,796,5373,0.0,7756,225503
22,23,24/3/2020,99168,9236,42660,209522,786,0,642,746,5600,0.0,8502,226145
23,24,25/3/2020,98560,6707,37618,217548,939,0,609,737,5737,0.0,9239,226754
24,25,26/3/2020,97927,4957,32586,224810,1092,0,633,714,5867,0.0,9953,227387
25,26,27/3/2020,97325,3814,27779,231207,1247,0,602,650,5874,0.0,10603,227989
26,27,28/3/2020,96766,3072,23511,236546,1477,0,559,583,5718,0.0,11186,228548
27,28,29/3/2020,96245,2647,19586,241212,1682,0,521,587,5510,0.0,11773,229069
28,29,30/3/2020,95793,2355,16286,245056,1882,0,452,509,5280,0.0,12282,229521
29,30,31/3/2020,95329,2146,13693,248127,2077,0,464,416,4989,0.0,12698,229985
30,31,1/4/2020,94987,1912,11610,250548,2315,0,342,363,4638,0.0,13061,230327
31,32,2/4/2020,94614,1769,9843,252612,2534,0,374,322,4241,0.0,13383,230701
32,33,3/4/2020,94313,1573,8535,254234,2717,0,301,261,3880,0.0,13644,231002
33,34,4/4/2020,94039,1426,7388,255585,2934,0,274,235,3488,0.0,13879,231276
34,35,5/4/2020,93821,1247,6462,256695,3147,0,220,204,3106,0.0,14083,231496
35,36,6/4/2020,93640,1076,5711,257630,3315,0,181,155,2741,0.0,14238,231677
36,37,7/4/2020,93447,967,4987,258497,3474,0,193,128,2392,0.0,14366,231870
37,38,8/4/2020,93280,864,4371,259234,3623,0,167,98,2059,0.0,14464,232037
38,39,9/4/2020,93132,760,3779,259929,3772,0,148,99,1730,0.0,14563,232185
39,40,10/4/2020,93013,685,3230,260560,3884,0,119,70,1465,0.0,14633,232304
40,41,11/4/2020,92945,572,2765,261093,3997,0,68,56,1202,0.0,14689,232372
41,42,12/4/2020,92859,470,2401,261561,4081,0,86,51,999,0.0,14740,232458
42,43,13/4/2020,92797,397,2067,261940,4171,0,62,46,839,0.0,14786,232520
43,44,14/4/2020,92734,321,1803,262267,4247,0,63,53,727,0.0,14839,232583
44,45,15/4/2020,92687,264,1560,262560,4301,0,47,23,612,0.0,14862,232630
45,46,16/4/2020,92647,232,1310,262824,4359,0,40,27,508,0.0,14889,232670
46,47,17/4/2020,92619,200,1103,263048,4402,0,28,20,422,0.0,14909,232698
47,48,18/4/2020,92584,167,952,263227,4442,0,35,10,348,0.0,14919,232733
48,49,19/4/2020,92567,139,823,263383,4460,0,17,25,314,0.0,14944,232750
49,50,20/4/2020,92548,118,699,263517,4490,0,19,15,259,0.0,14959,232769
50,51,21/4/2020,92537,90,584,263644,4517,0,11,15,215,0.0,14974,232780
51,52,22/4/2020,92521,75,491,263749,4536,0,16,14,187,0.0,14988,232796
52,53,23/4/2020,92509,63,405,263841,4554,0,12,10,154,0.0,14998,232808
53,54,24/4/2020,92500,51,339,263910,4572,0,9,16,136,0.0,15014,232817
54,55,25/4/2020,92492,48,302,263951,4579,0,8,7,119,0.0,15021,232825
55,56,26/4/2020,92488,38,260,264003,4583,0,4,7,109,0.0,15028,232829
56,57,27/4/2020,92483,35,218,264044,4592,0,5,8,96,0.0,15036,232834
57,58,28/4/2020,92479,30,189,264079,4595,0,4,4,90,0.0,15040,232838
58,59,29/4/2020,92475,27,166,264103,4601,0,4,3,79,0.0,15043,232842
59,60,30/4/2020,92471,21,148,264127,4605,0,5,11,80,0.0,15054,232847
60,61,1/5/2020,92470,17,124,264150,4611,0,1,5,70,0.0,15059,232848
61,62,2/5/2020,92467,15,103,264171,4616,0,3,2,60,0.0,15061,232851
62,63,3/5/2020,92466,10,89,264190,4617,0,1,2,54,0.0,15063,232852
