,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,315288,32300,12771,2373,2,0,10685,13,33,0.0,13,10685
1,2,3/3/2020,303972,37266,17885,3608,3,0,11316,10,42,0.0,23,22001
2,3,4/3/2020,293080,40214,24151,5285,4,0,10892,9,47,0.0,32,32893
3,4,5/3/2020,281738,42493,30683,7815,5,0,11346,35,79,0.0,67,44239
4,5,6/3/2020,269562,44689,37175,11302,6,0,12176,47,124,0.0,114,56415
5,6,7/3/2020,256170,47476,43188,15894,6,0,13394,53,174,0.0,167,69809
6,7,8/3/2020,241718,50834,48338,21835,9,0,14454,80,246,0.0,247,84263
7,8,9/3/2020,226822,53897,53192,28813,10,0,14902,124,365,0.0,371,99165
8,9,10/3/2020,211818,56328,57810,36763,15,0,15009,167,514,0.0,538,114174
9,10,11/3/2020,197130,57569,62354,45662,19,0,14693,205,700,0.0,743,128867
10,11,12/3/2020,182922,57828,66510,55448,26,0,14211,268,939,0.0,1011,143078
11,12,13/3/2020,171368,55207,70084,66040,35,0,11556,318,1215,0.0,1329,154634
12,13,14/3/2020,160323,52093,73118,77144,56,0,11048,351,1499,0.0,1680,165682
13,14,15/3/2020,149649,49075,75077,88857,76,0,10676,406,1823,0.0,2086,176358
14,15,16/3/2020,139426,46297,75844,101069,98,0,10223,456,2169,0.0,2542,186581
15,16,17/3/2020,132625,40901,75134,113932,142,0,6804,497,2526,0.0,3039,193385
16,17,18/3/2020,126103,35956,73603,126881,191,0,6526,601,2928,0.0,3640,199911
17,18,19/3/2020,120132,31575,70851,139926,250,0,5978,617,3329,0.0,4257,205889
18,19,20/3/2020,114578,28180,66827,152831,318,0,5554,673,3760,0.0,4930,211443
19,20,21/3/2020,112171,22688,62416,165066,393,0,2407,711,4156,0.0,5641,213850
20,21,22/3/2020,109875,18102,57575,176702,480,0,2296,775,4607,0.0,6416,216146
21,22,23/3/2020,107608,14696,52236,187608,586,0,2268,681,4823,0.0,7097,218414
22,23,24/3/2020,106906,10768,46731,197612,717,0,702,749,5056,0.0,7846,219116
23,24,25/3/2020,106207,7800,41229,206642,856,0,700,702,5236,0.0,8548,219816
24,25,26/3/2020,105552,5633,35807,214758,984,0,655,755,5448,0.0,9303,220471
25,26,27/3/2020,104951,4216,30545,221839,1183,0,601,649,5470,0.0,9952,221072
26,27,28/3/2020,104374,3311,25738,227959,1352,0,577,653,5527,0.0,10605,221649
27,28,29/3/2020,103816,2773,21649,232950,1546,0,558,550,5391,0.0,11155,222207
28,29,30/3/2020,103315,2443,17885,237308,1783,0,501,530,5202,0.0,11685,222708
29,30,31/3/2020,102811,2244,14871,240821,1987,0,504,468,4978,0.0,12153,223212
30,31,1/4/2020,102467,1995,12500,243584,2188,0,344,375,4633,0.0,12528,223556
31,32,2/4/2020,102108,1801,10654,245799,2372,0,360,386,4390,0.0,12914,223916
32,33,3/4/2020,101763,1642,9176,247599,2554,0,345,288,4007,0.0,13202,224261
33,34,4/4/2020,101466,1485,7929,249121,2733,0,297,260,3673,0.0,13462,224558
34,35,5/4/2020,101175,1372,6866,250403,2918,0,291,208,3271,0.0,13670,224849
35,36,6/4/2020,100925,1246,5937,251506,3120,0,250,166,2834,0.0,13836,225099
36,37,7/4/2020,100722,1102,5238,252397,3275,0,203,136,2464,0.0,13972,225302
37,38,8/4/2020,100517,975,4632,253186,3424,0,205,97,2133,0.0,14069,225507
38,39,9/4/2020,100346,856,4035,253933,3564,0,171,78,1802,0.0,14147,225678
39,40,10/4/2020,100174,796,3502,254562,3700,0,172,72,1518,0.0,14219,225850
40,41,11/4/2020,100101,657,3032,255136,3808,0,73,78,1287,0.0,14297,225923
41,42,12/4/2020,100019,566,2592,255659,3898,0,82,40,1050,0.0,14337,226005
42,43,13/4/2020,99941,468,2199,256144,3982,0,78,50,869,0.0,14387,226083
43,44,14/4/2020,99868,401,1888,256530,4047,0,73,28,710,0.0,14415,226156
44,45,15/4/2020,99826,311,1620,256881,4096,0,42,22,581,0.0,14437,226198
45,46,16/4/2020,99769,267,1402,257160,4136,0,57,33,484,0.0,14470,226255
46,47,17/4/2020,99728,222,1229,257374,4181,0,41,19,408,0.0,14489,226296
47,48,18/4/2020,99698,178,1024,257609,4225,0,31,26,329,0.0,14515,226327
48,49,19/4/2020,99672,141,878,257789,4254,0,27,21,280,0.0,14536,226354
49,50,20/4/2020,99653,113,761,257937,4270,0,19,11,239,0.0,14547,226373
50,51,21/4/2020,99636,99,654,258057,4288,0,17,22,218,0.0,14569,226390
51,52,22/4/2020,99619,91,543,258174,4307,0,17,15,197,0.0,14584,226407
52,53,23/4/2020,99606,80,464,258263,4321,0,13,16,174,0.0,14600,226420
53,54,24/4/2020,99599,71,407,258323,4334,0,7,11,163,0.0,14611,226427
54,55,25/4/2020,99595,52,348,258394,4345,0,4,7,139,0.0,14618,226431
55,56,26/4/2020,99584,45,305,258447,4353,0,11,7,122,0.0,14625,226442
56,57,27/4/2020,99575,41,268,258490,4360,0,9,9,111,0.0,14634,226451
57,58,28/4/2020,99569,38,218,258534,4375,0,6,9,92,0.0,14643,226457
58,59,29/4/2020,99561,32,193,258567,4381,0,8,8,89,0.0,14651,226465
59,60,30/4/2020,99556,30,173,258589,4386,0,5,7,90,0.0,14658,226470
60,61,1/5/2020,99555,25,147,258615,4392,0,1,4,75,0.0,14662,226471
61,62,2/5/2020,99553,21,129,258634,4397,0,2,1,66,0.0,14663,226473
62,63,3/5/2020,99550,16,115,258652,4401,0,3,6,57,0.0,14669,226476
63,64,4/5/2020,99548,12,100,258667,4407,0,2,3,48,0.0,14672,226478
64,65,5/5/2020,99544,15,84,258679,4412,0,4,1,41,0.0,14673,226482
65,66,6/5/2020,99541,14,75,258687,4417,0,4,2,36,0.0,14675,226486
66,67,7/5/2020,99540,9,66,258699,4420,0,1,0,29,0.0,14675,226487
67,68,8/5/2020,99539,6,64,258704,4421,0,1,3,30,0.0,14678,226488
68,69,9/5/2020,99539,6,55,258713,4421,0,1,2,29,0.0,14680,226489
69,70,10/5/2020,99539,5,44,258724,4422,0,0,2,24,0.0,14682,226489
70,71,11/5/2020,99539,5,38,258729,4423,0,1,2,22,0.0,14684,226490
71,72,12/5/2020,99538,6,30,258732,4428,0,1,0,16,0.0,14684,226491
72,73,13/5/2020,99537,5,28,258736,4428,0,1,2,15,0.0,14686,226492
73,74,14/5/2020,99535,6,21,258743,4429,0,2,0,13,0.0,14686,226494
74,75,15/5/2020,99534,5,20,258745,4430,0,1,1,13,0.0,14687,226495
75,76,16/5/2020,99534,6,14,258749,4431,0,1,1,11,0.0,14688,226496
76,77,17/5/2020,99534,4,15,258748,4433,0,1,0,9,0.0,14688,226497
77,78,18/5/2020,99533,3,13,258751,4434,0,1,0,7,0.0,14688,226498
78,79,19/5/2020,99533,3,12,258751,4435,0,1,0,5,0.0,14688,226499
79,80,20/5/2020,99535,2,9,258752,4436,0,0,0,2,0.0,14688,226499
80,81,21/5/2020,99535,0,10,258753,4436,0,0,0,2,0.0,14688,226499
81,82,22/5/2020,99534,1,8,258755,4436,0,1,0,2,0.0,14688,226500
82,83,23/5/2020,99535,3,6,258753,4437,0,2,0,1,0.0,14688,226502
83,84,24/5/2020,99535,2,6,258754,4437,0,0,0,1,0.0,14688,226502
84,85,25/5/2020,99535,3,6,258753,4437,0,1,0,1,0.0,14688,226503
85,86,26/5/2020,99536,3,5,258753,4437,0,0,0,1,0.0,14688,226503
86,87,27/5/2020,99538,2,6,258751,4437,0,0,0,1,0.0,14688,226503
87,88,28/5/2020,99540,1,6,258750,4437,0,0,0,1,0.0,14688,226503
88,89,29/5/2020,99540,2,4,258750,4438,0,1,0,0,0.0,14688,226504
89,90,30/5/2020,99540,2,3,258751,4438,0,0,0,0,0.0,14688,226504
90,91,31/5/2020,99543,1,4,258748,4438,0,0,0,0,0.0,14688,226504
91,92,1/6/2020,99548,1,3,258744,4438,0,0,0,0,0.0,14688,226504
92,93,2/6/2020,99554,2,2,258738,4438,0,1,0,0,0.0,14688,226505
93,94,3/6/2020,99558,6,3,258729,4438,0,5,0,0,0.0,14688,226510
94,95,4/6/2020,99558,10,4,258724,4438,0,5,0,0,0.0,14688,226515
95,96,5/6/2020,99562,13,4,258717,4438,0,4,0,0,0.0,14688,226519
96,97,6/6/2020,99569,16,4,258707,4438,0,3,0,0,0.0,14688,226522
97,98,7/6/2020,99577,16,7,258696,4438,0,3,0,0,0.0,14688,226525
98,99,8/6/2020,99586,16,8,258686,4438,0,3,0,0,0.0,14688,226528
99,100,9/6/2020,99593,12,11,258680,4438,0,0,1,1,0.0,14689,226528
