,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,329594,21478,8498,2089,0,0,7999,7,24,0.0,7,7999
1,2,3/3/2020,319238,27755,11730,2936,0,0,10356,13,35,0.0,20,18355
2,3,4/3/2020,306807,34913,15819,4119,1,0,12433,14,47,0.0,34,30788
3,4,5/3/2020,292660,42014,21203,5780,2,0,14148,27,70,0.0,61,44936
4,5,6/3/2020,277750,48451,27431,8025,2,0,14911,29,96,0.0,90,59847
5,6,7/3/2020,262442,53344,34771,11098,4,0,15309,43,133,0.0,133,75156
6,7,8/3/2020,246934,57007,42605,15108,5,0,15510,51,181,0.0,184,90666
7,8,9/3/2020,231119,59758,50356,20419,7,0,15816,83,257,0.0,267,106482
8,9,10/3/2020,215175,61407,58119,26950,8,0,15947,105,354,0.0,372,122429
9,10,11/3/2020,199492,62219,65019,34913,16,0,15687,156,484,0.0,528,138116
10,11,12/3/2020,184076,62362,70779,44418,24,0,15418,197,654,0.0,725,153534
11,12,13/3/2020,171709,59414,75205,55302,29,0,12368,237,865,0.0,962,165902
12,13,14/3/2020,159812,56175,78602,67031,39,0,11902,296,1113,0.0,1258,177804
13,14,15/3/2020,148505,52631,80804,79666,53,0,11310,395,1450,0.0,1653,189114
14,15,16/3/2020,137910,49320,81286,93073,70,0,10600,474,1844,0.0,2127,199714
15,16,17/3/2020,130782,43224,80518,107037,98,0,7130,494,2242,0.0,2621,206844
16,17,18/3/2020,123973,37990,78473,121091,132,0,6812,582,2668,0.0,3203,213656
17,18,19/3/2020,117619,33561,75293,135006,180,0,6354,610,3106,0.0,3813,220010
18,19,20/3/2020,111862,29711,70991,148859,236,0,5758,679,3567,0.0,4492,225768
19,20,21/3/2020,109363,23571,66342,162077,306,0,2500,771,4052,0.0,5263,228268
20,21,22/3/2020,107078,18767,60945,174483,386,0,2285,791,4546,0.0,6054,230553
21,22,23/3/2020,104873,15015,55233,186047,491,0,2205,773,4947,0.0,6827,232758
22,23,24/3/2020,104178,10858,49359,196673,591,0,696,781,5303,0.0,7608,233454
23,24,25/3/2020,103512,7840,43423,206150,734,0,668,759,5526,0.0,8367,234122
24,25,26/3/2020,102881,5697,37526,214665,890,0,631,736,5679,0.0,9103,234753
25,26,27/3/2020,102240,4317,31895,222124,1083,0,641,697,5781,0.0,9800,235394
26,27,28/3/2020,101617,3413,26720,228655,1254,0,623,704,5791,0.0,10504,236017
27,28,29/3/2020,101006,2931,22178,234103,1441,0,611,630,5747,0.0,11134,236628
28,29,30/3/2020,100447,2605,18492,238479,1636,0,559,607,5660,0.0,11741,237187
29,30,31/3/2020,99926,2391,15393,242090,1859,0,521,531,5449,0.0,12272,237708
30,31,1/4/2020,99575,2114,13044,244859,2067,0,351,450,5151,0.0,12722,238059
