,#time,date,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,hospital bed occupancy,num hospitalisations today (data),cum num hospitalisations today,cum num infections today
0,1,2/3/2020,303269,38660,16097,2949,1,0,12288,7,28,0.0,7,12288
1,2,3/3/2020,290772,43386,22385,4431,2,0,12498,19,46,0.0,26,24786
2,3,4/3/2020,278923,45923,29500,6628,2,0,11852,23,67,0.0,49,36638
3,4,5/3/2020,268066,46055,37130,9722,3,0,10858,47,111,0.0,96,47496
4,5,6/3/2020,256727,46271,44053,13921,4,0,11341,61,170,0.0,157,58837
5,6,7/3/2020,244639,46946,49885,19500,6,0,12090,81,246,0.0,238,70927
6,7,8/3/2020,231606,48239,54768,26357,6,0,13037,104,343,0.0,342,83964
7,8,9/3/2020,217778,50204,58484,34500,10,0,13831,158,492,0.0,500,97795
8,9,10/3/2020,203714,52389,61011,43848,14,0,14069,211,681,0.0,711,111864
9,10,11/3/2020,189687,53966,63437,53865,21,0,14032,258,909,0.0,969,125896
10,11,12/3/2020,176274,54429,65999,64240,34,0,13417,326,1188,0.0,1295,139313
11,12,13/3/2020,164938,52516,68281,75192,49,0,11339,406,1526,0.0,1701,150652
12,13,14/3/2020,154261,49788,70339,86525,63,0,10683,410,1860,0.0,2111,161335
13,14,15/3/2020,143832,47232,71871,97956,85,0,10433,447,2212,0.0,2558,171768
14,15,16/3/2020,134116,44377,72575,109791,117,0,9716,522,2610,0.0,3080,181484
15,16,17/3/2020,127461,39211,72138,122004,162,0,6656,566,2966,0.0,3646,188140
16,17,18/3/2020,121197,34651,70451,134457,220,0,6267,583,3333,0.0,4229,194407
17,18,19/3/2020,115396,30723,67859,146692,306,0,5805,591,3638,0.0,4820,200212
18,19,20/3/2020,110031,27334,64309,158911,391,0,5366,662,3993,0.0,5482,205578
19,20,21/3/2020,107708,21976,60166,170637,489,0,2323,638,4254,0.0,6120,207901
20,21,22/3/2020,105535,17456,55550,181842,593,0,2173,743,4598,0.0,6863,210074
21,22,23/3/2020,103525,13915,50556,192272,708,0,2011,704,4858,0.0,7567,212085
22,23,24/3/2020,102910,10091,45152,201966,857,0,616,704,5010,0.0,8271,212701
23,24,25/3/2020,102252,7244,39776,210695,1009,0,658,686,5150,0.0,8957,213359
24,25,26/3/2020,101620,5282,34500,218397,1177,0,632,688,5268,0.0,9645,213991
25,26,27/3/2020,101055,3956,29359,225255,1351,0,565,618,5265,0.0,10263,214556
26,27,28/3/2020,100489,3158,24707,231087,1535,0,566,572,5243,0.0,10835,215122
27,28,29/3/2020,99995,2605,20538,236103,1735,0,494,534,5118,0.0,11369,215616
28,29,30/3/2020,99507,2320,16997,240229,1923,0,488,532,4994,0.0,11901,216104
29,30,31/3/2020,99043,2138,14158,243511,2126,0,464,476,4832,0.0,12377,216568
30,31,1/4/2020,98722,1813,11907,246205,2329,0,321,423,4567,0.0,12800,216889
31,32,2/4/2020,98421,1599,10090,248333,2533,0,301,323,4242,0.0,13123,217190
32,33,3/4/2020,98121,1442,8721,249942,2750,0,301,286,3898,0.0,13409,217491
33,34,4/4/2020,97853,1318,7539,251337,2929,0,268,271,3597,0.0,13680,217759
34,35,5/4/2020,97609,1182,6583,252479,3123,0,244,202,3231,0.0,13882,218003
35,36,6/4/2020,97392,1084,5735,253474,3291,0,217,163,2841,0.0,14045,218220
36,37,7/4/2020,97189,998,4952,254373,3464,0,203,134,2447,0.0,14179,218423
37,38,8/4/2020,97015,878,4331,255133,3619,0,174,102,2099,0.0,14281,218597
38,39,9/4/2020,96864,769,3766,255814,3763,0,151,101,1794,0.0,14382,218748
39,40,10/4/2020,96743,702,3269,256369,3893,0,121,55,1497,0.0,14437,218869
40,41,11/4/2020,96674,581,2846,256876,3999,0,69,59,1248,0.0,14496,218938
41,42,12/4/2020,96592,485,2472,257339,4088,0,82,48,1037,0.0,14544,219020
42,43,13/4/2020,96514,412,2139,257742,4169,0,78,28,845,0.0,14572,219098
43,44,14/4/2020,96448,346,1806,258142,4234,0,66,45,699,0.0,14617,219164
44,45,15/4/2020,96396,301,1559,258435,4285,0,53,35,594,0.0,14652,219217
45,46,16/4/2020,96351,266,1344,258679,4336,0,45,29,489,0.0,14681,219262
46,47,17/4/2020,96318,210,1165,258901,4382,0,33,33,419,0.0,14714,219295
47,48,18/4/2020,96287,176,1026,259063,4424,0,31,26,370,0.0,14740,219326
48,49,19/4/2020,96273,138,901,259214,4450,0,14,17,330,0.0,14757,219340
